Code;Typ;Klasse;Bewerb;Leistung;Wind;Name;Vorname;Nation;YOB;RNAT;RORT;Datum;Geschlecht;Umgebung
PR;;MT46;10K;30:15.35;;Conde;Jose Javier;ESP;1964;ESP;Barcelona;1992-09-07;Male;Outdoor
PR;;MT54;10K;20:51.86;;Jeannot;Joel;FRA;1965;GRE;Athens;2004-09-21;Male;Outdoor
PR;;MT11;4X1;0:42.37;;Gomes, Silva, Jeronimo Da Slva, Araujo;;BRA;;BRA;Rio de Janeiro;2016-09-13;Male;Outdoor
PR;;MT12;4X1;0:42.37;;Gomes, Silva, Jeronimo Da Slva, Araujo;;BRA;;BRA;Rio de Janeiro;2016-09-13;Male;Outdoor
PR;;MT13;4X1;0:42.37;;Gomes, Silva, Jeronimo Da Slva, Araujo;;BRA;;BRA;Rio de Janeiro;2016-09-13;Male;Outdoor
PR;;MT35;4X1;0:44.81;;Australia;;AUS;;CHN;Beijing;2008-09-16;Male;Outdoor
PR;;MT36;4X1;0:44.81;;Australia;;AUS;;CHN;Beijing;2008-09-16;Male;Outdoor
PR;;MT37;4X1;0:44.81;;Australia;;AUS;;CHN;Beijing;2008-09-16;Male;Outdoor
PR;;MT38;4X1;0:44.81;;Australia;;AUS;;CHN;Beijing;2008-09-16;Male;Outdoor
PR;;MT53;4X1;0:49.89;;People's Republic of China;;CHN;;CHN;Beijing;2008-09-08;Male;Outdoor
PR;;MT54;4X1;0:49.89;;People's Republic of China;;CHN;;CHN;Beijing;2008-09-08;Male;Outdoor
PR;;MT42;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT43;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT44;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT45;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT46;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT47;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT48;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT49;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT50;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT51;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT52;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT53;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT54;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT55;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT56;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT57;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT58;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT59;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT60;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT61;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT62;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT63;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT64;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT65;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT66;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT67;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT68;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT69;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT70;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT71;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT72;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT73;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT74;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT75;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
PR;;MT76;4X1;0:40.82;;Rehm, Behre, Floors, Streng;;GER;;BRA;Rio de Janeiro;2016-09-12;Male;Outdoor
